Rank,Freq,Infinitiv,Präsens_ich,Präsens_ich*,Präsens_du,Präsens_du*,"Präsens_er, sie, es",Präteritum_ich,Präteritum_ich*,Partizip II,Partizip II*,Konjunktiv II_ich,Konjunktiv II_ich*,Imperativ Singular,Imperativ Singular*,Imperativ Singular 2,Imperativ Plural,Imperativ Plural*,Hilfsverb,Hilfsverb*,Bild,Bild 1,Bild 2,Bild 3,Bild 4
648,2423,beschuldigen,beschuldige,,beschuldigst,,beschuldigt,beschuldigte,,beschuldigt,,beschuldigte,,beschuldig,beschuldige,,beschuldigt,,haben,,,,,,
649,2419,begeistern,begeistere,,begeisterst,,begeistert,begeisterte,,begeistert,,begeisterte,,begeistere,,,begeistert,,haben,,,,,,
650,2412,mitteilen,teile mit,,teilst mit,,teilt mit,teilte mit,,mitgeteilt,,teilte mit,,teil mit,teile mit,,teilt mit,,haben,,,,,,
651,2404,starren,starre,,starrst,,starrt,starrte,,gestarrt,,starrte,,starre,,,starrt,,haben,,,,,,
652,2397,festnehmen,nehme fest,,nimmst fest,,nimmt fest,nahm fest,,festgenommen,,nähme fest,,nimm fest,,,nehmt fest,,haben,,,,,,
653,2395,bekämpfen,bekämpfe,,bekämpfst,,bekämpft,bekämpfte,,bekämpft,,bekämpfte,,bekämpf,bekämpfe,,bekämpft,,haben,,,,,,
654,2393,ergreifen,ergreife,,ergreifst,,ergreift,ergriff,,ergriffen,,ergriffe,,ergreife,,,ergreift,,haben,,,,,,
655,2391,reizen,reize,,reizt,reizest,reizt,reizte,,gereizt,,reizte,,reize,reiz,,reizt,,haben,,,,,,
656,2389,weichen,weiche,,weichst,,weicht,wich,,gewichen,,wiche,,weiche,,,weicht,,sein,,,,,,
657,2388,vergewaltigen,vergewaltige,,vergewaltigst,,vergewaltigt,vergewaltigte,,vergewaltigt,,vergewaltigte,,vergewaltige,,,vergewaltigt,,haben,,,,,,
658,2385,flehen,flehe,,flehst,,fleht,flehte,,gefleht,,flehte,,flehe,fleh,,fleht,flehet,haben,,,,,,
659,2382,modern,modere,,moderst,,modert,moderte,,gemodert,,moderte,,modere,,,modert,,haben,sein,,Barca afundida no Carril- Vilagarcía de Arousa- Galicia.jpg|thumb|1|ein [[Boot]] ''modert'' im [[Wasser]],Binned compost Clavering Essex England 1.jpg|thumb|1|ein [[gut]]er [[Kompost]] ''modert'' und [[stinkt]] nicht,,
660,2374,umziehen,ziehe um,,ziehst um,,zieht um,zog um,,umgezogen,,zöge um,,zieh um,,,zieht um,,sein,haben,,,,,
661,2374,gestehen,gestehe,,gestehst,,gesteht,gestand,,gestanden,,gestände,gestünde,gestehe,,,gesteht,,haben,,,,,,
